t,v_mps,v_kph,acc_mps2,P_req_shaft_W,P_brake_avail_shaft_W,P_engine_mech_W,P_motor_mech_W,P_batt_W,SOC,engine_on,fuel_total_L
277.0,13.88888888888889,50.0,0.0,2985.493911030596,0.0,2985.493911030596,0.0,0.0,0.41974009317171324,True,0.0026715829181481843
278.0,13.88888888888889,50.0,0.0,2985.493911030596,0.0,2985.493911030596,0.0,0.0,0.41974009317171324,True,0.0029387412099630026
279.0,13.88888888888889,50.0,0.0,2985.493911030596,0.0,2985.493911030596,0.0,0.0,0.41974009317171324,True,0.003205899501777821
280.0,13.88888888888889,50.0,0.0,2985.493911030596,0.0,2985.493911030596,0.0,0.0,0.41974009317171324,True,0.0034730577935926394
281.0,13.88888888888889,50.0,0.0,2985.493911030596,0.0,2985.493911030596,0.0,0.0,0.41974009317171324,True,0.0037402160854074578
282.0,13.88888888888889,50.0,0.0,2985.493911030596,0.0,2985.493911030596,0.0,0.0,0.41974009317171324,True,0.004007374377222276
283.0,13.88888888888889,50.0,0.0,2985.493911030596,0.0,2985.493911030596,0.0,0.0,0.41974009317171324,True,0.004274532669037095
284.0,13.88888888888889,50.0,0.0,2985.493911030596,0.0,2985.493911030596,0.0,0.0,0.41974009317171324,True,0.004541690960851914
285.0,13.88888888888889,50.0,0.0,2985.493911030596,0.0,2985.493911030596,0.0,0.0,0.41974009317171324,True,0.004808849252666733
286.0,13.88888888888889,50.0,0.0,2985.493911030596,0.0,2985.493911030596,0.0,0.0,0.41974009317171324,True,0.005076007544481551
287.0,13.88888888888889,50.0,0.0,2985.493911030596,0.0,2985.493911030596,0.0,0.0,0.41974009317171324,True,0.00534316583629637
288.0,13.88888888888889,50.0,0.0,2985.493911030596,0.0,2985.493911030596,0.0,0.0,0.41974009317171324,True,0.005610324128111189
289.0,13.88888888888889,50.0,0.0,2985.493911030596,0.0,2985.493911030596,0.0,0.0,0.41974009317171324,True,0.005877482419926008
290.0,13.88888888888889,50.0,0.0,2985.493911030596,0.0,2985.493911030596,0.0,0.0,0.41974009317171324,True,0.006144640711740827
291.0,13.88888888888889,50.0,0.0,2985.493911030596,0.0,2985.493911030596,0.0,0.0,0.41974009317171324,True,0.0064117990035556455
292.0,13.88888888888889,50.0,0.0,2985.493911030596,0.0,2985.493911030596,0.0,0.0,0.41974009317171324,True,0.006678957295370464
293.0,13.88888888888889,50.0,0.0,2985.493911030596,0.0,2985.493911030596,0.0,0.0,0.41974009317171324,True,0.006946115587185283
294.0,13.88888888888889,50.0,0.0,2985.493911030596,0.0,2985.493911030596,0.0,0.0,0.41974009317171324,True,0.007213273879000102
295.0,13.88888888888889,50.0,0.0,2985.493911030596,0.0,2985.493911030596,0.0,0.0,0.41974009317171324,True,0.007480432170814921
296.0,13.88888888888889,50.0,0.0,2985.493911030596,0.0,2985.493911030596,0.0,0.0,0.41974009317171324,True,0.00774759046262974
297.0,13.88888888888889,50.0,0.0,2985.493911030596,0.0,2985.493911030596,0.0,0.0,0.41974009317171324,True,0.008014748754444558
298.0,13.88888888888889,50.0,0.0,2985.493911030596,0.0,2985.493911030596,0.0,0.0,0.41974009317171324,True,0.008281907046259376
299.0,13.88888888888889,50.0,0.0,2985.493911030596,0.0,2985.493911030596,0.0,0.0,0.41974009317171324,True,0.008549065338074195
300.0,13.88888888888889,50.0,0.0,2985.493911030596,0.0,2985.493911030596,0.0,0.0,0.41974009317171324,True,0.008816223629889014
301.0,13.88888888888889,50.0,0.0,2985.493911030596,0.0,2985.493911030596,0.0,0.0,0.41974009317171324,True,0.009083381921703833
302.0,13.88888888888889,50.0,0.0,2985.493911030596,0.0,2985.493911030596,0.0,0.0,0.41974009317171324,True,0.009350540213518652
303.0,13.88888888888889,50.0,0.0,2985.493911030596,0.0,2985.493911030596,0.0,0.0,0.41974009317171324,True,0.00961769850533347
304.0,13.88888888888889,50.0,0.0,2985.493911030596,0.0,2985.493911030596,0.0,0.0,0.41974009317171324,True,0.00988485679714829
305.0,13.88888888888889,50.0,0.0,2985.493911030596,0.0,2985.493911030596,0.0,0.0,0.41974009317171324,True,0.010152015088963108
306.0,13.88888888888889,50.0,0.0,2985.493911030596,0.0,2985.493911030596,0.0,0.0,0.41974009317171324,True,0.010419173380777927
